Question,Answer
"What is cybersecurity?","Cybersecurity is the practice of protecting systems, networks, applications, identities, and data from unauthorized access, misuse, disruption, and destruction."
"What is the CIA triad?","The CIA triad stands for confidentiality, integrity, and availability. It is a foundational model for defining security objectives."
"What is confidentiality?","Confidentiality means only authorized users and systems can access sensitive information. Controls include encryption, access control, least privilege, and data classification."
"What is integrity?","Integrity means data and systems remain accurate, trustworthy, and unchanged except through authorized actions. Controls include hashing, signatures, auditing, and change management."
"What is availability?","Availability means systems and data remain accessible when needed. Controls include backups, redundancy, patching, monitoring, and denial-of-service protections."
"What is least privilege?","Least privilege means granting users, applications, and services only the permissions they need to perform required tasks and nothing more."
"What is multi-factor authentication?","Multi-factor authentication requires two or more independent authentication factors, such as something you know, something you have, or something you are."
"What is phishing?","Phishing is a social engineering attack where an adversary tricks a target into revealing credentials, opening a malicious attachment, or visiting a malicious site."
"What is malware?","Malware is malicious software designed to disrupt, spy on, steal from, or gain unauthorized access to systems. Examples include ransomware, trojans, worms, and spyware."
"What is ransomware?","Ransomware is malware that encrypts data or locks systems and demands payment for restoration. Strong backups and segmentation reduce its impact."
"What is network segmentation?","Network segmentation divides networks into controlled zones to limit lateral movement, reduce blast radius, and apply targeted security controls."
"What is endpoint detection and response?","Endpoint detection and response, or EDR, collects endpoint telemetry and supports detection, investigation, and response to suspicious behavior."
"Why is patch management important?","Patch management closes known vulnerabilities before attackers can exploit them. Delayed patching increases exposure and incident probability."
"What is a vulnerability?","A vulnerability is a weakness in software, hardware, configuration, or process that can be exploited to compromise confidentiality, integrity, or availability."
"What is threat modeling?","Threat modeling is the structured process of identifying assets, attack surfaces, trust boundaries, threats, and mitigations before or during system design."
"What is an indicator of compromise?","An indicator of compromise is evidence that suggests a system may have been breached, such as unusual processes, malicious domains, unexpected accounts, or suspicious registry changes."
"What is zero trust?","Zero trust is a security approach that assumes no implicit trust based on network location. Every access request must be continuously verified and constrained."
"Why are backups critical?","Backups support recovery from ransomware, accidents, corruption, and outages. Effective backups are tested, protected, versioned, and stored separately from primary systems."
"What is log monitoring?","Log monitoring is the practice of collecting and reviewing security-relevant events to detect suspicious activity, diagnose failures, and support investigations."
"What is security awareness training?","Security awareness training teaches users how to recognize phishing, handle data safely, report suspicious activity, and reduce risky behavior."
"What is defense in depth?","Defense in depth means using multiple layers of security controls so that a single failure does not result in total compromise."
"What is incident response?","Incident response is the coordinated process of preparing for, detecting, containing, eradicating, recovering from, and learning after a security incident."
"What is a security baseline?","A security baseline is the minimum approved configuration and control standard for systems, applications, accounts, and infrastructure."
"How should teams prioritize security work?","Teams should prioritize high-impact, high-likelihood risks first, especially weaknesses tied to identity, exposed services, unpatched systems, and weak monitoring."
"What is single sign-on (SSO)?","SSO allows users to authenticate once and access multiple applications without re-entering credentials. It reduces password fatigue and centralizes authentication control."
"What is SAML?","SAML (Security Assertion Markup Language) is an XML-based standard for exchanging authentication and authorization data between an identity provider and a service provider."
"What is OAuth 2.0?","OAuth 2.0 is an authorization framework that allows third-party applications to obtain limited access to a service on behalf of a user without exposing the user's credentials."
"What is OpenID Connect (OIDC)?","OIDC is an identity layer built on top of OAuth 2.0 that provides authentication. It returns an ID token containing user identity claims alongside the OAuth access token."
"What is privileged access management (PAM)?","PAM controls and monitors access to privileged accounts such as root, admin, and service accounts. It typically includes credential vaulting, session recording, and just-in-time elevation."
"Why are service accounts a security risk?","Service accounts often have elevated privileges, lack MFA, and use static credentials. They should be inventoried, scoped to least privilege, and have credentials rotated regularly."
"How should API keys be managed?","API keys should be stored in secrets managers, never hardcoded in source code, rotated on a schedule, scoped to minimum permissions, and revoked immediately when compromised."
"What is session management in web security?","Session management controls how user sessions are created, maintained, and destroyed. Secure practices include short timeouts, secure cookie flags, session ID regeneration after login, and server-side invalidation."
"What is identity federation?","Identity federation allows users authenticated by one organization's identity provider to access resources in another organization without creating separate accounts."
"What is just-in-time (JIT) access?","JIT access grants elevated privileges only when needed and for a limited duration. It reduces the window of exposure for privileged credentials compared to standing access."
"What is the difference between RBAC and ABAC?","RBAC assigns permissions based on predefined roles, while ABAC evaluates attributes like user department, resource sensitivity, time of day, and location to make dynamic access decisions."
"What are directory services?","Directory services like Active Directory and LDAP store and manage user identities, group memberships, and access policies. They are the backbone of enterprise authentication and authorization."
"Why is credential rotation important?","Credential rotation limits the useful lifetime of compromised credentials. Passwords, API keys, certificates, and tokens should all be rotated on defined schedules and immediately after any suspected breach."
"What is a privileged access workstation (PAW)?","A PAW is a hardened workstation dedicated exclusively to administrative tasks. It is isolated from general browsing and email to reduce the risk of credential theft from privileged sessions."
"What is identity governance?","Identity governance provides visibility into who has access to what, ensures access is appropriate through periodic reviews, and enforces policies for provisioning, deprovisioning, and access certification."
"What is a firewall?","A firewall filters network traffic based on rules defining allowed and denied connections. It enforces boundaries between trusted and untrusted network zones."
"What is the difference between IDS and IPS?","An IDS (intrusion detection system) monitors traffic and alerts on suspicious activity. An IPS (intrusion prevention system) can also automatically block or drop malicious traffic inline."
"What is a web application firewall (WAF)?","A WAF inspects HTTP/HTTPS traffic to and from web applications, blocking attacks like SQL injection, XSS, and request smuggling based on rulesets and behavioral analysis."
"Why is DNS security important?","DNS is used in nearly every network connection and is a common target for spoofing, cache poisoning, and exfiltration. Securing DNS with filtering, logging, and DNSSEC reduces these risks."
"What is DNSSEC?","DNSSEC adds cryptographic signatures to DNS records so resolvers can verify that responses have not been tampered with. It protects against cache poisoning and spoofing attacks."
