"Question","Answer"
"Walk me through how an attacker performs reconnaissance","Reconnaissance starts with passive information gathering: OSINT, DNS records, WHOIS data, social media, and job postings that reveal technology stack. Active recon follows with port scanning, service enumeration, and vulnerability scanning. The attacker builds a target profile to identify the weakest entry point."
"What happens after the attacker gets initial access?","Post-exploitation begins. The attacker establishes persistence through backdoors or scheduled tasks, escalates privileges if needed, then performs lateral movement to reach high-value targets. They dump credentials, map the internal network, and move toward their objective."
"How would I detect that kind of activity on my network?","Look for anomalies: unusual authentication patterns, lateral movement indicators like PsExec or WMI to unusual hosts, unexpected outbound connections, privilege escalation events, and data staging. A well-tuned SIEM correlating endpoint, network, and auth logs is your primary detection tool."
"What if I don't have a SIEM?","Start with what you have. Enable Windows Event Logging at a minimum, monitor firewall logs, and use free tools like Sysmon for endpoint visibility. You can feed these into an ELK stack or Graylog as a budget SIEM alternative."
"Can you explain how adversarial machine learning attacks work?","Adversarial ML attacks exploit the mathematical properties of models. Evasion attacks add calculated perturbations to inputs that cross decision boundaries. Poisoning attacks corrupt training data to bias the model. Extraction attacks query the model systematically to reconstruct its parameters."
"Give me a concrete example of an evasion attack","FGSM computes the gradient of the loss with respect to the input, then adds a small perturbation in the direction that maximizes loss. A stop sign image with a few pixels altered gets classified as a speed limit sign, even though the change is imperceptible to humans."
"How do you defend against that?","Adversarial training is the primary defense — you generate adversarial examples during training so the model learns to handle them. Input preprocessing like smoothing can also strip perturbations. Certified defenses provide mathematical guarantees within bounded perturbation radii."
"What about defending against data poisoning?","Data provenance and validation are key. Verify the integrity of training data sources, use anomaly detection to flag suspicious samples, employ robust aggregation that downweights outliers, and maintain clean validation sets to detect performance degradation."
"I'm a SOC analyst — what should I prioritize learning?","Focus on log analysis and SIEM proficiency, network traffic analysis with Wireshark, endpoint forensics basics, your organization's playbooks, and common attack patterns mapped to MITRE ATT&CK. Build speed in triage — most alerts are false positives."
"How do I reduce alert fatigue in the SOC?","Tune your detection rules to remove noisy false positives. Implement alert enrichment to add context automatically. Use SOAR for repetitive triage steps. Prioritize alerts by asset criticality and threat intelligence correlation."
"What does a typical incident response workflow look like?","Detection triggers the workflow. Triage confirms it's real and assigns severity. Containment isolates affected systems. Investigation determines scope and root cause. Eradication removes the threat. Recovery restores systems. Post-incident review documents findings."
"How do I write a good incident report?","Include an executive summary, timeline, affected systems and data, root cause analysis, attacker TTPs mapped to MITRE ATT&CK, containment actions taken, evidence preserved, and recommendations to prevent recurrence. Be factual and precise."
"What's the difference between a vulnerability assessment and a risk assessment?","A vulnerability assessment identifies technical weaknesses in systems. A risk assessment evaluates the broader picture: what threats exist, how likely they are, what impact they'd have, and which vulnerabilities matter most given your business context."
"How do I prioritize vulnerabilities?","Don't just go by CVSS alone. Factor in: Is it exploitable remotely? Is there a public exploit? Is the asset internet-facing? What data does it access? Is it being actively exploited in the wild? Frameworks like SSVC or EPSS help prioritize better."
"Tell me about the shared responsibility model in cloud","In IaaS, you manage OS, apps, and data while the provider manages hardware. In PaaS, the provider also manages the OS and runtime. In SaaS, you mainly manage access and data. You always own data classification, access control, and compliance."
"What are the biggest cloud security mistakes?","Misconfigured storage buckets, overly permissive IAM policies, exposed credentials in code repos, disabled logging, unpatched VMs, not encrypting data at rest, and assuming the cloud provider handles all security."
"How do I approach security for a microservices architecture?","Secure service-to-service communication with mutual TLS, implement API gateways for centralized auth, use network policies to restrict traffic between services, scan container images, manage secrets with a vault, and enforce least privilege per service."
"What is threat hunting?","Threat hunting is proactive searching for threats that evade automated detection. Hunters form hypotheses based on threat intelligence, then search through logs, endpoints, and network data for evidence. You go looking for trouble instead of waiting for alerts."
"How do I start a threat hunting program?","Begin with your existing data sources. Pick a hypothesis like 'an attacker is using PowerShell for lateral movement' and search for evidence in your logs. Start small, document your process, and iterate. MITRE ATT&CK is a great source of hunting hypotheses."
"What tools do threat hunters use?","SIEM for log queries, EDR for endpoint telemetry, Velociraptor or OSQuery for live endpoint queries, network analysis tools like Zeek, YARA rules for file scanning, and notebook environments for data analysis and visualization."
"Explain the diamond model of intrusion analysis","The Diamond Model relates four core features of every intrusion: Adversary, Infrastructure, Capability, and Victim. Each event connects an adversary using specific infrastructure and capabilities against a target. It helps analysts map relationships and cluster activity."
"What's the difference between a blue team and a purple team?","Blue team focuses on defense — detection, response, and hardening. Purple team is collaborative — red and blue teams work together, with red exposing gaps and blue immediately improving defenses. Purple teaming accelerates improvement by closing the feedback loop."
"How do I measure security program effectiveness?","Track mean time to detect and respond, percentage of critical vulnerabilities patched within SLA, phishing simulation click rates, EDR and logging coverage, security training completion rates, and incident counts by severity over time."
"What should be in a security architecture review?","Review data flows and trust boundaries, authentication mechanisms, encryption coverage, network segmentation, logging and monitoring, third-party integrations, secrets management, and compliance requirements. Map threats using STRIDE against each component."
"How do I explain security ROI to executives?","Frame it as risk reduction. Quantify potential incident impact: revenue loss, regulatory fines, remediation costs, reputation damage. Show how investments reduce probability or impact. Use business risk language, not technical jargon."
"What's the relationship between AI and cybersecurity?","AI enhances defense through better anomaly detection, automated triage, and threat intelligence analysis. But it also enables sophisticated attacks: AI-generated phishing, deepfakes, and adversarial evasion. Security teams need to both leverage and defend against AI."
"How does differential privacy work?","Differential privacy adds calibrated noise to query results so individual records can't be identified, while aggregate statistics remain useful. The privacy budget epsilon controls the trade-off — lower epsilon means more privacy but noisier results."
"What is model extraction?","Model extraction is when an attacker queries a deployed model systematically to reconstruct a functionally equivalent copy. By observing input-output pairs, they train a surrogate model. Rate limiting, output perturbation, and watermarking help defend against it."
"Explain membership inference attacks","Membership inference determines whether a specific record was in a model's training set. The attacker exploits the fact that models are more confident on training data. It's a privacy violation, especially for sensitive datasets like medical records."
"How do I build a security-first culture?","Lead by example from the top. Make training engaging and relevant. Reward employees who report issues. Integrate security into daily workflows instead of treating it as separate overhead. Celebrate wins and share lessons from incidents."
"What's the state of ransomware today?","Ransomware has evolved into professional criminal enterprises with customer support and affiliate programs. Double extortion encrypts data and threatens to leak it. Targets have shifted from individuals to enterprises, hospitals, and critical infrastructure."
"How do I build a ransomware defense plan?","Offline backups tested regularly are your foundation. Layer on email filtering, endpoint protection, network segmentation, least-privilege access, patching discipline, and a ransomware-specific incident response plan. Test your backup restoration process."
"What is SOAR and how does it help?","Security Orchestration, Automation, and Response connects your security tools and automates workflows. When an alert fires, SOAR can enrich it, query threat intelligence, isolate an endpoint, and create a ticket before an analyst touches it."
"Explain the concept of a security champion program","Security champions are developers embedded in product teams who serve as security advocates. They receive extra training, review code for security issues, and bridge the gap between security and development teams. It scales security knowledge."
"What's the future of authentication?","Passwordless authentication is gaining momentum: FIDO2/WebAuthn hardware keys, biometrics, and passkeys. The goal is eliminating passwords entirely because they're the weakest link. Adoption is accelerating across major platforms."
"How do I respond to a phishing campaign targeting my organization?","Block the sender domain and malicious URLs, search email logs for all recipients, quarantine delivered messages, notify affected users, check for credential compromise, reset passwords for anyone who clicked, and scan endpoints for malware."
"What is a business continuity plan?","A BCP ensures critical business functions continue during and after a disaster. It includes risk assessment, recovery priorities, communication plans, alternative work arrangements, data backup strategies, and regular testing through tabletop exercises."
"How do regulatory frameworks affect security decisions?","Regulations like GDPR, HIPAA, and PCI-DSS set minimum security requirements and create legal obligations. They influence data handling, breach notification timelines, audit requirements, and investment decisions. Non-compliance carries fines and liability."
"What's the role of cryptography in blockchain security?","Blockchain relies on hash functions for block integrity, public-key cryptography for transaction signing, and consensus mechanisms for distributed trust. Security challenges include smart contract vulnerabilities, key management, and bridge exploits."
"How do I evaluate a security vendor?","Assess what problem they solve, integration with your stack, deployment complexity, false positive rates, support quality, pricing model, and independent evaluations. Run a proof of concept before committing."
"What is secure software development lifecycle?","SSDLC integrates security at every phase: threat modeling during design, secure coding during implementation, SAST/DAST during testing, dependency scanning in CI/CD, security review before release, and monitoring in production."
"Explain security logging best practices","Log authentication events, authorization decisions, data access, configuration changes, errors, and network connections. Use structured formats, centralize collection, protect log integrity, set retention policies, and mask sensitive data."
"What makes a strong password policy?","Require minimum 12 characters, encourage passphrases, check against known breached passwords, implement MFA as the real defense, don't force periodic rotation per NIST guidance, and use a password manager."
"How do I secure remote workers?","VPN or zero-trust access, MFA on everything, endpoint protection and patching, encrypted devices with remote wipe, security training for home network risks, and clear policies for handling sensitive data outside the office."
"What's the impact of quantum computing on security?","Quantum computers threaten current asymmetric encryption through Shor's algorithm. Symmetric encryption needs larger keys. Post-quantum cryptography standards are being adopted to prepare for this transition."
"Tell me about bug bounty program management","Define clear scope and rules, set fair reward tiers by severity, respond quickly, have a triage team, be transparent about fixes, and build positive relationships with researchers. Well-run programs are cost-effective."
"How does security differ for IoT devices?","IoT devices often have constrained resources, limited update mechanisms, default credentials, and long lifetimes. Security requires network isolation, firmware signing, secure boot, encrypted communication, and anomalous behavior monitoring."
"What is a tabletop exercise?","A tabletop exercise is a discussion-based simulation where team members walk through a hypothetical incident scenario. It tests your response plan, identifies gaps, clarifies roles, and builds coordination without the pressure of a real incident."
"How do I get executive buy-in for security investments?","Present risk in business terms: potential revenue loss, regulatory fines, reputation damage. Show peer benchmarks. Propose solutions with clear cost-benefit analysis. Start with quick wins that demonstrate value before requesting larger budgets."
"What should I do after a failed pentest?","A failed pentest is a successful test. Prioritize findings by severity and exploitability, create a remediation plan with owners and deadlines, fix critical issues first, schedule a retest to verify fixes, and update your security baseline."
"Describe the threat intelligence lifecycle","The threat intelligence lifecycle consists of six phases: direction (defining requirements), collection (gathering raw data from feeds, OSINT, and dark web), processing (normalizing and deduplicating), analysis (turning data into actionable intelligence), dissemination (distributing to stakeholders), and feedback (evaluating usefulness). Each phase feeds back into the previous ones to continuously refine the program's focus and output quality."
"What is the difference between strategic, tactical, and operational threat intelligence?","Strategic intelligence is high-level, aimed at executives, covering trends like geopolitical risks and emerging threat actor motivations. Tactical intelligence focuses on TTPs that defenders use to tune detections and write signatures. Operational intelligence provides details about specific imminent campaigns, including infrastructure, timelines, and targets, enabling proactive defense before an attack lands."
"How do CTI platforms like MISP and OpenCTI compare?","MISP excels at indicator sharing with its event-based model, strong community feeds, and STIX/TAXII integration, but its UI can be cumbersome for analysis. OpenCTI provides a more analyst-friendly graph-based interface with deep STIX2.1 native support and knowledge management capabilities. ThreatConnect blends intelligence management with orchestration and is stronger for enterprises that want integrated playbooks, though it carries a commercial license cost."
"How should I manage indicators of compromise at scale?","Implement an indicator lifecycle with ingestion, enrichment, scoring, expiration, and retirement stages. Automate enrichment through threat intel platforms that cross-reference indicators against multiple feeds and add context like related campaigns or actor attribution. Set time-to-live values so stale indicators age out, and prioritize indicators tied to active campaigns targeting your sector over bulk commodity feeds."
