Question,Answer
"What is the MITRE ATT&CK framework?","MITRE ATT&CK is a knowledge base of adversary behavior organized by tactics, techniques, and procedures. Security teams use it to map detections, test defenses, and understand how attackers operate."
"What does ATT&CK mean in practice?","In practice, ATT&CK helps defenders describe an attack chain consistently. It gives analysts a shared language for initial access, execution, persistence, lateral movement, command and control, and impact."
"What is a tactic in MITRE ATT&CK?","A tactic is the adversary goal at a stage of an intrusion, such as initial access, privilege escalation, defense evasion, credential access, or exfiltration."
"What is a technique in MITRE ATT&CK?","A technique is a specific method used by an adversary to achieve a tactic. For example, phishing is a technique for gaining initial access."
"What is a procedure in MITRE ATT&CK?","A procedure is a real-world implementation of a technique by a specific threat actor, malware family, or intrusion set."
"Why do defenders map alerts to ATT&CK?","Mapping alerts to ATT&CK improves triage, detection engineering, reporting, and gap analysis. It helps teams see which attacker behaviors they can detect and which ones are still uncovered."
"What is initial access?","Initial access is the tactic where an attacker first gains a foothold in the target environment. Common methods include phishing, exploiting public-facing applications, and valid accounts."
"What is execution in ATT&CK?","Execution is the tactic covering how attackers run malicious code. Examples include command shell abuse, scripting interpreters, scheduled tasks, and malicious documents."
"What is persistence?","Persistence is the tactic used to maintain access across reboots, logouts, or credential changes. Attackers may use startup items, services, registry run keys, or web shells."
"What is privilege escalation?","Privilege escalation is the tactic used to gain higher-level permissions. Attackers may exploit vulnerabilities, misuse token privileges, or abuse misconfigurations."
"What is defense evasion?","Defense evasion includes behaviors that avoid detection or disable protections. Examples include obfuscated files, process injection, indicator removal, and tampering with security tools."
"What is credential access?","Credential access refers to stealing usernames, passwords, hashes, tokens, or secrets. Attackers may use keylogging, dumping LSASS, phishing, or password spraying."
"What is discovery?","Discovery is the tactic where attackers learn about systems, users, processes, shares, software, and network topology to plan their next steps."
"What is lateral movement?","Lateral movement is how attackers move from one host to another after initial compromise. They may use remote services, stolen credentials, or admin shares."
"What is collection?","Collection is the tactic of gathering data of interest before exfiltration. Attackers may stage files, capture screenshots, log keystrokes, or dump databases."
"What is command and control?","Command and control is the communication channel between compromised systems and attacker infrastructure. It may use web protocols, encrypted tunnels, or covert channels."
"What is exfiltration?","Exfiltration is the tactic of removing data from the environment. Attackers often compress, stage, encrypt, and transfer data to external systems."
"What is impact?","Impact includes actions that disrupt, destroy, encrypt, manipulate, or deny access to systems or data. Ransomware and data destruction are common examples."
"How can MITRE ATT&CK improve purple teaming?","ATT&CK lets red teams emulate known behaviors and lets blue teams measure whether detections and response playbooks catch those behaviors. It creates a repeatable purple-team workflow."
"How do I use ATT&CK for detection engineering?","Start by selecting a high-priority tactic or technique, then define logs, telemetry, analytics, and response steps that can reliably identify that behavior with acceptable false positives."
"How does ATT&CK differ from a threat feed?","ATT&CK describes behaviors and adversary tradecraft. A threat feed provides indicators or reports about specific current threats. They complement each other."
"What is ATT&CK coverage analysis?","Coverage analysis compares your detections and controls against ATT&CK techniques to identify blind spots, prioritize logging improvements, and justify engineering work."
"Can ATT&CK help incident response?","Yes. During incident response, ATT&CK helps responders structure investigations, hypothesize next attacker actions, and communicate findings using a common model."
"How should small teams use MITRE ATT&CK?","Small teams should focus on the most relevant tactics for their environment, map existing telemetry, and build a shortlist of high-value detections before trying to cover everything."
"What is phishing in ATT&CK (T1566)?","T1566 Phishing is an initial access technique where adversaries send targeted messages with malicious attachments (T1566.001) or links (T1566.002) to gain code execution or credentials. Spearphishing via service (T1566.003) uses third-party platforms like social media."
"What is drive-by compromise (T1189)?","T1189 Drive-By Compromise is an initial access technique where visiting a legitimate but compromised website triggers exploit code in the browser or plugin, granting execution without user interaction beyond navigation."
"What is exploit public-facing application (T1190)?","T1190 covers exploiting vulnerabilities in internet-facing applications such as web servers, VPNs, or firewalls. Defenders should prioritize patching edge infrastructure and monitoring for anomalous process spawning from web services."
